landevej	road
jagten	hunt
coupé	coupe
bevidsthed	consciousness
bevidsthed	awareness
retssag	trial
kurser	courses
undtagelser	exceptions
undtagelser	exemptions
bombe	bomb
anmodning	request
hænderne	hands
tank	tank
fremstiller	manufacturer
toner	tones
toner	toner
kaserne	barracks
patent	patent
kæden	chain
konvention	convention
skatter	taxes
ravn	raven
signatur	signature
kavaleri	cavalry
mel	flour
opvarmning	heating
opvarmning	warming
køb	purchase
køb	purchases
trio	trio
sporten	sport
domstol	court
grænserne	borders
grænserne	frontiers
komponenter	components
skulptur	sculpture
ordfører	rapporteur
faciliteter	facilities
fisker	fisherman
beton	concrete
mandat	mandate
kæde	chain
bureau	agency
bureau	bureau
rede	nest
drab	homicide
drab	killings
drab	killing
dale	dale
allieret	ally
humor	humor
humor	humour
lufthavne	airports
afløser	replacement
fuldmægtig	clerk
proteiner	proteins
satellitter	satellites
påstand	claim
påstand	allegation
opdagelsesrejsende	explorer
opdagelsesrejsende	explorers
molekyler	molecules
møbler	furniture
terror	terror
terror	terrorism
kriminelle	criminals
cæsar	caesar
kriminalitet	criminality
kriminalitet	crime
batteri	battery
omkostninger	costs
afdelingen	department
mur	wall
illustrationer	illustrations
brugerne	users
tjenester	services
templet	temple
håbet	hope
missioner	missions
tidsrum	period
hoteller	hotels
modtagelse	receipt
modtagelse	reception
stribe	stripe
sandhed	truth
præstation	performance
præstation	achievement
atmosfæren	atmosphere
racer	racer
racer	races
racer	breeds
boksning	boxing
forestilling	performance
badminton	badminton
størrelser	sizes
øre	ear
katalog	catalogue
katalog	catalog
studentereksamen	baccalaureate
produktet	product
taber	loser
indstilling	option
indstilling	attitude
indstilling	configuration
busk	bush
busk	shrub
rapporter	reports
kompleks	complex
fænomener	phenomena
koncept	concept
eksport	exports
eksport	export
frugter	fruit
frugter	fruits
bifloder	tributaries
indvandrere	migrants
indvandrere	immigrants
arbejdspladser	jobs
arbejdspladser	workplaces
anklager	accusations
anklager	prosecutor
konsulent	consultant
konsulent	adviser
skribent	writer
samtale	conversation
arrangement	arrangement
ritualer	rituals
ritualer	rites
sekund	second
mændene	men
ambassade	embassy
statsborgerskab	nationality
statsborgerskab	citizenship
runder	laps
runder	rounds
tropperne	troops
fiktion	fiction
højdepunkt	highlight
højdepunkt	peak
varighed	duration
pseudonym	pseudonym
altertavle	altarpiece
sko	shoes
sko	shoe
bakken	hill
standarder	standards
mælk	milk
færge	shuttle
færge	ferry
intelligens	intelligence
virus	virus
virus	viruses
korstog	crusade
vision	vision
slagmarken	battlefield
gæst	visitor
gæst	guest
statsborger	citizen
idéer	ideas
begivenhederne	events
økonom	economist
beat	beat
vinden	wind
matcher	matches
novelle	novel
ejeren	owner
rigdom	wealth
rigdom	richness
nævne	mention
renæssance	renaissance
akt	act
personale	personnel
personale	staff
halvkugle	hemisphere
halen	tail
ansøgning	application
sangere	singers
genopbygget	rebuilt
kammer	chamber
bue	arc
bue	arch
bue	bow
værksted	garage
værksted	workshop
udtalelser	statements
weekend	weekend
sætninger	phrases
sætninger	sentences
bryggeri	brewery
pulje	pool
tilsyn	supervision
helium	helium
brugernavn	username
indtaget	intake
besidder	possessor
ungdoms	youth
søgning	search
evolution	evolution
husene	houses
vidne	witness
beskeden	message
zar	tsar
zar	czar
krydsere	cruisers
vinderne	winners
falsk	fake
pil	arrow
monarki	monarchy
moral	morale
moral	morals
sandsynlighed	likelihood
sandsynlighed	probability
konference	conference
kyster	shores
kyster	coasts
kyster	coastlines
forbrug	consumption
eksperter	experts
anime	anime
ask	ash
versionen	version
chefen	boss
diesel	diesel
analyser	analyses
analyser	analysis
bekendte	acquaintances
mærker	brands
mærker	marks
mærker	markings
mærker	tags
tråd	wire
tråd	thread
bopæl	residence
bopæl	domicile
læsere	readers
døren	door
torpedoer	torpedoes
grundstoffer	elements
ryg	back
forstad	suburb
mund	mouth
bryggeriet	brewery
uro	unrest
uro	anxiety
uro	agitation
due	dove
due	pigeon
trusler	threats
fjernsyn	tv
fjernsyn	televisions
fjernsyn	television
ture	rides
ture	tours
ture	trips
ture	journeys
diskografi	discography
logik	logic
forbliver	remains
forbliver	stays
miner	mines
ruiner	ruins
investeringer	investments
organer	organs
organer	bodies
skåret	shard
mindesmærke	memorial
komtesse	comtesse
producenter	producers
producenter	manufacturers
fødslen	birth
koncerten	concert
tusindvis	thousands
ulykker	accidents
privilegier	privileges
ost	cheese
vegetation	vegetation
renoveret	redone
legenden	legend
troen	belief
hyldest	tribute
hyldest	homage
mønstre	patterns
mønstre	designs
arkiver	archives
bekostning	expense
vægten	weight
palads	palace
opdagelse	discovery
faser	phases
faser	stages
misbrug	misuse
misbrug	abuse
misbrug	abuses
styring	governance
asfalt	asphalt
mandskab	crew
bølger	waves
krigsfanger	pows
erkendelse	recognition
erkendelse	realization
cirkel	circle
adelsmand	nobleman
kælenavn	nickname
berømmelse	fame
kontakter	contacts
alter	altar
alter	shrine
logisk	logic
udgifter	costs
udgifter	expenditure
udgifter	expenses
biblioteker	libraries
betegnelser	indications
betegnelser	names
betegnelser	designations
betegnelser	descriptions
torsdag	thursday
linket	link
himmel	heaven
himmel	sky
redskaber	gear
redskaber	gears
redskaber	tools
redskaber	nets
biograf	theater
biograf	cinema
blik	eye
datterselskab	subsidiary
skilte	badges
skilte	signs
bestemmelse	provision
bestemmelse	clause
skønhed	beauty
brigader	brigades
unger	kids
unger	cubs
krat	scrub
koden	code
ferie	holiday
ferie	vacation
elektronik	electronics
cykel	bike
cykel	bicycle
indehaver	proprietor
indehaver	holder
huden	skin
passager	passenger
passager	passages
fattigdom	poverty
slægtninge	relatives
sammenbrud	breakdown
sammenbrud	crash
sammenbrud	collapse
konferencen	conference
standpunkt	standpoint
kold	cold
relevans	relevance
værft	shipyard
værft	yard
hjemmesider	websites
krisen	crisis
flyveplads	airfield
flyveplads	aerodrome
graven	grave
efterretningstjeneste	intelligence
anvendelser	applications
anvendelser	uses
renovering	renovation
renovering	refurbishment
mineraler	minerals
bosættelser	settlements
hertz	hz
halsen	throat
halsen	neck
repræsentation	representation
tårne	towers
ministerium	ministry
tusinder	thousands
biografier	biographies
sagn	legend
sagn	folklore
sagn	legends
argentinske	argentine
tilfældigt	coincidence
fangenskab	captivity
udnævnelse	nomination
udnævnelse	appointment
nytte	utility
afhængige	addicts
cirkus	circus
cirkus	circuses
hud	skin
indledning	introduction
indledning	initiation
syndrom	syndrome
orientering	briefing
orientering	orientation
hegn	fencing
hegn	fences
hegn	fence
liège	liege
meninger	opinions
krydset	intersection
slagskibe	battleships
litteraturen	literature
gennemgang	review
drager	kites
drager	dragons
kaos	mayhem
kaos	chaos
konsul	consul
kvaliteten	quality
teknikken	technique
hangarskibe	carriers
geologi	geology
begrænsninger	limitations
begrænsninger	restrictions
begrænsninger	limits
begrænsninger	constraints
gaver	gifts
gaver	presents
soldaterne	soldiers
oplevelse	experience
massakren	massacre
kvartfinalen	quarterfinals
krater	crater
cola	coke
moser	bogs
astronomi	astronomy
profession	profession
forretningsmand	businessman
karakterer	grades
karakterer	characters
provinserne	provinces
ondt	evil
arving	heiress
arving	heir
nedrykning	relegation
funktionen	function
funktionen	feature
fauna	fauna
beregninger	calculations
stjernen	star
håndværkere	craftsmen
håndværkere	artisans
kalk	calcium
kalk	lime
fylde	fill
dokumentar	documentary
farvande	waters
platforme	platforms
platforme	rigs
gener	nuisance
gener	genes
generaler	generals
teatre	theatres
teatre	theaters
understøtter	supports
flytning	relocation
munke	monks
slægtens	ascendance
offensiven	offensive
elektroner	electrons
påstande	claims
påstande	allegations
påstande	assertions
riges	reich
eftermiddagen	afternoon
vedligeholdelse	maintenance
seere	viewers
sild	herring
udfald	outcome
udfald	outcomes
persisk	persian
forudsætning	precondition
forudsætning	premise
forudsætning	prerequisite
hovedperson	protagonist
fods	foot
fænomenet	phenomenon
dramatiker	playwright
fotos	photographs
fotos	photos
mistanke	suspicion
paradis	paradise
helikoptere	helicopters
købmænd	merchants
kontinent	continent
baser	bases
tang	seaweed
tang	forceps
opretter	creator
midterste	middle
affald	waste
affald	wastes
positioner	positions
lægen	doctor
taktik	tactic
munden	mouth
demonstrationer	protests
demonstrationer	demonstrations
sorg	grief
sorg	sadness
sorg	sorrow
